date,market_cap,volume,trading_value,shares,ticker
2020.12.31,6.09179E+12,59406936,5.8588E+11,645316408,006800
2021.1.31,6.13051E+12,90895940,9.15816E+11,645316408,006800
2021.2.28,6.02726E+12,44591636,4.38303E+11,645316408,006800
2021.3.31,6.26422E+12,31428678,3.00139E+11,635316408,006800
2021.4.30,6.35316E+12,45477119,4.59757E+11,635316408,006800
2021.5.31,6.28963E+12,49536125,5.04995E+11,635316408,006800
2021.6.30,5.99103E+12,38817648,3.75219E+11,635316408,006800
2021.7.31,5.67338E+12,27648611,2.53702E+11,635316408,006800
2021.8.31,5.60349E+12,31698664,2.79687E+11,635316408,006800
2021.9.30,5.50184E+12,26561343,2.34441E+11,635316408,006800
2021.10.31,5.51455E+12,20020230,1.72613E+11,635316408,006800
2021.11.30,5.45101E+12,28431461,2.55928E+11,635316408,006800
2021.12.31,5.49549E+12,24133192,2.15507E+11,635316408,006800
2013.4.30,2.6082E+12,2734596,2.22085E+11,32200000,006260
2013.5.31,2.27976E+12,5280262,3.92325E+11,32200000,006260
2013.6.30,2.2379E+12,3867478,2.6402E+11,32200000,006260
2013.7.31,2.32162E+12,2624812,1.88072E+11,32200000,006260
2013.8.31,2.27654E+12,3452941,2.37788E+11,32200000,006260
2013.9.30,2.4955E+12,2789224,2.08415E+11,32200000,006260
2013.10.31,2.55346E+12,3413779,2.60299E+11,32200000,006260
2013.11.30,2.5438E+12,2759989,2.15121E+11,32200000,006260
2013.12.31,2.60498E+12,2022562,1.57182E+11,32200000,006260
2014.1.31,2.70802E+12,2076200,1.71971E+11,32200000,006260
2014.2.28,2.35704E+12,3388248,2.63531E+11,32200000,006260
2014.3.31,2.45686E+12,2346056,1.75025E+11,32200000,006260
2014.4.30,2.60498E+12,1769910,1.39705E+11,32200000,006260
2014.5.31,2.31518E+12,2232468,1.66854E+11,32200000,006260
2014.6.30,2.39246E+12,1803737,1.27943E+11,32200000,006260
2014.7.31,2.34738E+12,2148202,1.54908E+11,32200000,006260
2014.8.31,2.254E+12,1941814,1.39982E+11,32200000,006260
2014.9.30,2.15096E+12,1292594,89616654600,32200000,006260
2014.10.31,1.92878E+12,1931434,1.17914E+11,32200000,006260
2014.11.30,1.95132E+12,1621834,97295473300,32200000,006260
2014.12.31,1.74846E+12,1698638,95203242000,32200000,006260
2015.1.31,1.55043E+12,1923722,94967289380,32200000,006260
2015.2.28,1.6583E+12,2774415,1.34728E+11,32200000,006260
2015.3.31,1.6744E+12,4253188,2.26376E+11,32200000,006260
2015.4.30,1.74202E+12,3632467,1.99343E+11,32200000,006260
2015.5.31,1.58585E+12,2686629,1.3763E+11,32200000,006260
2015.6.30,1.39909E+12,2523984,1.13759E+11,32200000,006260
2015.7.31,1.26224E+12,4059254,1.68757E+11,32200000,006260
2015.8.31,1.00303E+12,8419141,2.69937E+11,32200000,006260
2015.9.30,1.10446E+12,6857723,2.31555E+11,32200000,006260
2015.10.31,1.24614E+12,4262202,1.62119E+11,32200000,006260
2015.11.30,1.18174E+12,3224657,1.16315E+11,32200000,006260
